married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,6.0,,,9.58,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,We earned about the same amount,4.0,meet through friends,,6.08,Good
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,[Partner Name] was not working for pay,6.0,meet through friends,,60.83,Excellent
yes,yes,,Female,lesbian couple,no,[40 -50],[30 -40],0.0,[Partner Name] earned more,0.0,meet through friends,,13.67,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,4.0,meet through studies,,25.08,Excellent
yes,no,yes,Female,hetero couple,yes,[50 -60],[50 -60],0.0,[Partner Name] earned more,6.0,,,,
,no,no,Male,,,[60 -70],,,,,,,,
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,2.0,meet through studies,,40.75,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,5.0,meet in neighborhood,,30.0,Excellent
no,no,yes,Male,hetero couple,no,[70 -80],,,I earned more,6.0,,,0.25,
yes,yes,,Female,hetero couple,no,[70 -80],[80 -90],3.0,I earned more,6.0,,,36.67,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,5.0,meet through work,,36.83,Excellent
,no,no,Female,,,[40 -50],,,,,,,,
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,meet through friends,,32.0,Excellent
yes,yes,,Female,lesbian couple,no,[60 -70],[60 -70],4.0,I earned more,6.0,,,13.08,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],4.0,[Partner Name] earned more,4.0,,no,7.33,
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],0.0,I earned more,6.0,meet through work,,4.42,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,3.0,meet through work,,4.67,Excellent
yes,yes,,Female,hetero couple,yes,[50 -60],[60 -70],1.0,[Partner Name] earned more,6.0,meet in neighborhood,,41.67,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] was not working for pay,5.0,meet through family,,40.25,Excellent
yes,yes,,Female,hetero couple,yes,[30 -40],[30 -40],5.0,[Partner Name] earned more,4.0,meet through friends,,8.5,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,We earned about the same amount,6.0,meet through work,,28.08,Excellent
no,no,yes,Female,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,4.0,,,0.58,
yes,yes,,Female,hetero couple,no,[20 -30],[30 -40],3.0,I earned more,4.0,meet through internet,no,4.0,Excellent
no,no,yes,Male,gay male couple,no,[60 -70],[60 -70],4.0,[Partner Name] earned more,3.0,meet through work,no,0.75,
no,no,yes,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,5.0,meet through studies,,0.5,
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],3.0,[Partner Name] earned more,5.0,meet through studies,,19.25,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],2.0,I earned more,5.0,meet through friends,,13.42,Fair
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,4.0,meet through friends,,33.42,Excellent
,no,no,Male,,,[40 -50],,,,,,,,
yes,yes,,Male,gay male couple,no,[60 -70],[50 -60],4.0,[Partner Name] earned more,4.0,meet through internet,,32.0,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],1.0,We earned about the same amount,6.0,,,56.25,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],3.0,I earned more,6.0,,,34.75,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,6.0,meet through studies,,44.25,Excellent
,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,5.0,meet through studies,,,Good
,yes,,Male,hetero couple,no,[30 -40],[20 -30],2.0,I earned more,4.0,meet through friends,,6.08,Good
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,meet through work,,56.33,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],1.0,I earned more,5.0,meet through friends,,49.83,Excellent
no,no,yes,Male,gay male couple,no,[60 -70],[50 -60],0.0,We earned about the same amount,1.0,,,22.08,
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,We earned about the same amount,6.0,,,0.83,
yes,no,yes,Female,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,5.0,meet through family,,,
yes,yes,,Female,hetero couple,no,[20 -30],[30 -40],3.0,[Partner Name] earned more,4.0,meet through internet,,10.5,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],2.0,[Partner Name] earned more,4.0,,,,Good
,yes,,Female,hetero couple,no,[60 -70],[60 -70],2.0,[Partner Name] earned more,5.0,,,1.83,Good
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],1.0,[Partner Name] earned more,6.0,meet through family,,22.42,Good
,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,Refused,,,,,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,,meet through studies,,,
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],1.0,I earned more,5.0,,,30.42,Excellent
no,no,yes,Female,hetero couple,no,[50 -60],[70 -80],10.0,[Partner Name] earned more,2.0,meet through friends,,,
no,no,yes,Male,hetero couple,no,[60 -70],[30 -40],0.0,We earned about the same amount,5.0,,,1.58,
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],0.0,[Partner Name] earned more,6.0,,,30.25,Excellent
,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,2.0,meet through family,,0.08,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] was not working for pay,6.0,meet through studies,,47.58,Good
,yes,,Female,hetero couple,no,[60 -70],[50 -60],1.0,[Partner Name] earned more,3.0,meet through work,,12.58,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,Refused,5.0,meet through work,,33.75,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[30 -40],2.0,I earned more,5.0,meet through work,,17.83,Good
,yes,,Male,gay male couple,no,[40 -50],[60 -70],4.0,[Partner Name] earned more,5.0,,,17.75,Good
yes,no,yes,Female,hetero couple,yes,[60 -70],[60 -70],0.0,[Partner Name] earned more,3.0,,,,
yes,yes,,Female,hetero couple,yes,[70 -80],[70 -80],4.0,We earned about the same amount,1.0,meet in neighborhood,,59.08,Good
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],3.0,I earned more,5.0,meet through studies,,0.42,
yes,yes,,Female,hetero couple,yes,[30 -40],[30 -40],2.0,[Partner Name] earned more,5.0,meet through studies,,20.33,Good
,yes,,Male,hetero couple,no,[20 -30],[20 -30],2.0,[Partner Name] earned more,4.0,,,5.5,Excellent
yes,no,yes,Female,hetero couple,no,[90 -100],[90 -100],3.0,[Partner Name] earned more,4.0,meet through friends,,,
,yes,,Female,hetero couple,no,[50 -60],[40 -50],1.0,[Partner Name] earned more,6.0,,,3.58,Excellent
,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,1.0,meet through internet,no,2.42,Fair
yes,yes,,Male,hetero couple,no,[70 -80],[50 -60],4.0,I earned more,2.0,,,19.75,Good
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,5.0,meet through friends,,56.83,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,4.0,meet through studies,,40.08,Good
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],2.0,[Partner Name] was not working for pay,6.0,meet in neighborhood,,47.0,Excellent
,yes,,Male,gay male couple,yes,[30 -40],[20 -30],3.0,I earned more,5.0,meet through internet,no,0.83,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,6.0,,,47.42,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[70 -80],0.0,[Partner Name] earned more,5.0,meet through family,,,
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],1.0,[Partner Name] earned more,3.0,meet through work,,15.83,Excellent
no,no,yes,Female,hetero couple,yes,[50 -60],[50 -60],0.0,I earned more,4.0,meet through work,,11.08,
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],4.0,[Partner Name] was not working for pay,4.0,meet through studies,,,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,6.0,,,17.25,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,5.0,meet through internet,no,9.58,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,5.0,meet through friends,,38.92,Excellent
,yes,,Female,hetero couple,no,[30 -40],[30 -40],4.5,[Partner Name] earned more,6.0,meet through friends,,14.33,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,4.0,meet through studies,,7.17,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,3.0,meet through studies,,8.08,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,3.0,meet through studies,,0.42,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[30 -40],2.0,[Partner Name] earned more,4.0,meet through internet,,4.58,Excellent
no,no,yes,Male,hetero couple,no,[30 -40],[30 -40],2.0,I earned more,1.0,meet through friends,yes,3.42,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,5.0,meet through studies,,39.08,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,4.0,meet through work,,27.83,Excellent
,yes,,Male,hetero couple,yes,[50 -60],[20 -30],0.0,I earned more,6.0,meet through internet,,1.0,Excellent
yes,yes,,Female,hetero couple,yes,[60 -70],[60 -70],2.0,We earned about the same amount,4.0,meet through work,,40.83,Good
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],0.0,[Partner Name] earned more,5.0,meet through studies,,27.83,Excellent
yes,yes,,Female,hetero couple,yes,[50 -60],[50 -60],0.0,[Partner Name] was not working for pay,5.0,meet through work,,27.92,Excellent
no,no,yes,Male,gay male couple,no,[50 -60],[30 -40],4.0,I earned more,3.0,meet through internet,yes,2.08,
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],0.0,[Partner Name] earned more,4.0,meet in neighborhood,,27.83,Excellent
yes,no,yes,Male,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,5.0,,,,
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],1.0,We earned about the same amount,4.0,meet through internet,,14.67,Excellent
no,no,yes,Female,lesbian couple,no,[50 -60],[40 -50],4.0,I earned more,3.0,,,23.67,
,yes,,Male,hetero couple,no,[40 -50],[30 -40],1.0,[Partner Name] was not working for pay,2.0,meet through friends,,4.42,Fair
,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,4.0,meet through internet,,3.42,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,We earned about the same amount,4.0,meet through internet,,8.67,Good
no,no,yes,Male,hetero couple,yes,[20 -30],[20 -30],2.0,I earned more,5.0,meet through work,,2.33,
,yes,,Male,hetero couple,no,[40 -50],[60 -70],1.0,I earned more,3.0,meet through internet,,8.08,Excellent
yes,yes,,Male,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,6.0,,,11.25,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,4.0,,,20.58,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,3.0,meet through friends,,25.33,Excellent
yes,yes,,Male,hetero couple,yes,[40 -50],[40 -50],0.0,I earned more,6.0,,,17.42,Good
,yes,,Male,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,4.0,meet through studies,,6.42,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],0.0,[Partner Name] earned more,5.0,meet through work,,,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,6.0,,,14.42,Excellent
yes,yes,,Female,hetero couple,yes,[40 -50],[40 -50],1.0,[Partner Name] earned more,6.0,meet through studies,,31.58,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,6.0,meet through studies,,3.83,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,6.0,meet in neighborhood,,3.25,
,yes,,Female,hetero couple,no,[70 -80],[70 -80],1.0,[Partner Name] earned more,4.0,meet in neighborhood,,10.33,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,3.0,meet through internet,,3.5,Excellent
yes,yes,,Male,hetero couple,yes,[40 -50],[30 -40],0.0,I earned more,3.0,meet in neighborhood,,17.75,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,2.0,meet through family,,46.0,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[40 -50],3.0,I earned more,5.0,meet through internet,,9.67,Good
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through studies,,11.67,Excellent
,yes,,Male,gay male couple,no,[20 -30],[30 -40],3.0,[Partner Name] earned more,6.0,meet through internet,,3.33,Good
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,6.0,,,26.92,Excellent
no,no,yes,Male,gay male couple,no,[40 -50],[50 -60],0.0,[Partner Name] earned more,5.0,meet through work,yes,0.17,
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],4.5,I earned more,5.0,meet through work,,18.42,Good
yes,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,6.0,meet through family,,5.92,Excellent
yes,yes,,Male,hetero couple,yes,[60 -70],[60 -70],3.0,[Partner Name] earned more,4.0,,,45.58,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],7.0,[Partner Name] earned more,6.0,meet through work,,35.25,Excellent
yes,yes,,Female,hetero couple,,[40 -50],[30 -40],2.0,[Partner Name] earned more,6.0,meet through work,,9.42,Excellent
,yes,,Female,hetero couple,no,[20 -30],[30 -40],2.0,We earned about the same amount,4.0,meet through work,,0.08,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],2.0,[Partner Name] earned more,6.0,meet through family,,18.08,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,6.0,meet through studies,no,3.75,Fair
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],3.0,I earned more,4.0,meet through work,,22.75,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,2.0,meet through work,,33.75,Good
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],3.0,[Partner Name] earned more,6.0,,,54.25,Excellent
,yes,,Male,hetero couple,yes,[20 -30],[20 -30],0.0,I earned more,4.0,meet through friends,,6.08,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,3.0,meet through work,,26.58,Good
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],1.0,I earned more,4.0,,,31.75,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[80 -90],0.0,[Partner Name] earned more,3.0,meet through friends,,,
no,no,yes,Male,hetero couple,no,[20 -30],[50 -60],1.0,I earned more,4.0,,,0.17,
yes,yes,,Female,hetero couple,yes,[30 -40],[40 -50],0.0,[Partner Name] earned more,4.0,,,10.17,Good
,yes,,Female,hetero couple,no,[20 -30],[30 -40],4.0,[Partner Name] earned more,6.0,meet through friends,,0.5,Excellent
,yes,,Female,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,4.0,meet through internet,yes,0.33,Fair
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],0.0,I earned more,5.0,meet through friends,,33.5,Excellent
,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,5.0,meet through internet,yes,0.08,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],2.0,I earned more,6.0,meet through friends,,55.58,Excellent
,,,Male,,,[60 -70],,,,,,,,
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,5.0,meet through friends,,,Excellent
no,no,yes,Female,hetero couple,no,[20 -30],[20 -30],3.0,I earned more,4.0,meet through internet,,2.83,
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],3.0,[Partner Name] earned more,4.0,meet through work,,10.75,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],2.0,I earned more,6.0,meet through studies,,42.25,Good
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],1.0,We earned about the same amount,5.0,,,17.0,Excellent
no,no,yes,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,,,0.75,
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],2.0,[Partner Name] earned more,5.0,meet through friends,,16.42,Excellent
,yes,,Female,hetero couple,no,[50 -60],[50 -60],4.0,I earned more,3.0,,,12.92,Good
yes,yes,,Male,hetero couple,yes,[40 -50],[50 -60],1.0,[Partner Name] earned more,5.0,,,24.08,Excellent
yes,no,yes,Female,hetero couple,no,[60 -70],[70 -80],0.0,[Partner Name] earned more,6.0,meet through work,,,
,no,no,Female,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],1.0,[Partner Name] earned more,6.0,meet through work,,51.08,Fair
,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,3.0,meet in neighborhood,,23.08,Fair
yes,yes,,Male,hetero couple,no,[80 -90],[70 -80],0.0,I earned more,5.0,meet through family,,10.33,Excellent
no,no,yes,Male,gay male couple,no,[60 -70],[30 -40],2.0,I earned more,5.0,,,3.92,
yes,no,yes,Female,hetero couple,yes,[60 -70],[60 -70],1.0,I earned more,6.0,meet through studies,,,
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],1.0,[Partner Name] earned more,6.0,,,55.42,Excellent
no,no,yes,Male,gay male couple,no,[60 -70],[50 -60],0.0,[Partner Name] earned more,4.0,meet through studies,,12.92,
no,no,yes,Female,hetero couple,no,[60 -70],[60 -70],3.0,We earned about the same amount,1.0,meet through work,,5.83,
,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,2.0,meet through work,,2.08,Fair
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],3.0,I earned more,6.0,,,52.75,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,,,30.83,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],1.0,I earned more,4.0,meet through internet,,16.25,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,6.0,meet through work,,41.0,Excellent
yes,yes,,Male,hetero couple,no,[10 -20],[10 -20],1.0,We earned about the same amount,6.0,meet through work,,0.67,Excellent
,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,1.0,meet through internet,,0.67,Excellent
,yes,,Female,lesbian couple,yes,[50 -60],[30 -40],0.0,We earned about the same amount,6.0,meet through internet,,14.42,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],5.0,We earned about the same amount,4.0,meet through work,,36.42,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,6.0,meet through family,,32.42,Excellent
yes,yes,,Male,hetero couple,no,[80 -90],[70 -80],2.0,I earned more,6.0,,,56.5,Excellent
,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,2.0,,,17.83,Excellent
,yes,,Male,gay male couple,yes,[50 -60],[30 -40],1.0,I earned more,3.0,meet through internet,,3.92,Excellent
no,no,yes,Female,hetero couple,no,[20 -30],[20 -30],1.0,[Partner Name] earned more,3.0,,,1.67,
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],4.0,I earned more,2.0,meet through studies,,54.42,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[40 -50],0.0,[Partner Name] earned more,5.0,meet through work,,19.75,Good
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,5.0,,,34.33,Excellent
,yes,,Female,hetero couple,no,[30 -40],[50 -60],1.0,[Partner Name] earned more,6.0,,,4.0,Good
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],4.0,We earned about the same amount,6.0,meet in neighborhood,,26.0,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],1.0,[Partner Name] was not working for pay,6.0,meet through friends,,54.08,Good
,yes,,Female,hetero couple,yes,[30 -40],[30 -40],3.0,I earned more,4.0,meet through internet,,11.42,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,6.0,meet through studies,,25.5,Excellent
,no,no,Male,,,[20 -30],,,,,,,,
no,no,yes,Male,hetero couple,yes,[40 -50],[70 -80],0.0,[Partner Name] earned more,2.0,meet in neighborhood,,6.25,
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,6.0,meet through internet,,17.33,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,4.0,,,31.25,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],0.0,We earned about the same amount,5.0,meet through work,,32.58,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,3.0,meet through friends,,42.42,Good
,yes,,Female,lesbian couple,no,[50 -60],[50 -60],2.0,[Partner Name] earned more,6.0,,,16.17,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],3.0,I earned more,4.0,meet through work,,13.75,Good
yes,yes,,Male,hetero couple,no,[80 -90],[80 -90],4.0,[Partner Name] was not working for pay,5.0,meet in neighborhood,,15.0,Excellent
no,no,yes,Male,gay male couple,yes,[50 -60],[50 -60],2.0,I earned more,5.0,,,,
,yes,,Male,hetero couple,no,[30 -40],[40 -50],1.0,[Partner Name] earned more,4.0,,no,0.67,Good
yes,yes,,Female,hetero couple,yes,[30 -40],[30 -40],0.0,[Partner Name] earned more,6.0,meet through friends,,16.58,Excellent
,yes,,Male,hetero couple,no,[40 -50],[40 -50],4.0,I earned more,6.0,meet through work,,4.33,Excellent
yes,no,yes,Male,hetero couple,no,[70 -80],[70 -80],1.0,I earned more,5.0,meet through family,,,
,yes,,Female,hetero couple,no,[30 -40],[40 -50],3.5,[Partner Name] earned more,6.0,,,4.17,Good
,yes,,Male,hetero couple,no,[60 -70],[70 -80],4.0,We earned about the same amount,5.0,,no,2.08,Good
yes,yes,,Female,hetero couple,yes,[70 -80],[70 -80],3.0,We earned about the same amount,6.0,meet through work,,28.5,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],1.0,I earned more,2.0,,,19.17,Good
,yes,,Female,hetero couple,yes,[30 -40],[30 -40],1.0,I earned more,4.0,,,12.25,Fair
,yes,,Male,hetero couple,no,[40 -50],[30 -40],0.0,I earned more,5.0,meet through internet,no,13.08,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,5.0,meet through friends,,37.33,Good
yes,yes,,Male,hetero couple,,[40 -50],[40 -50],3.0,I earned more,4.0,,,35.42,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] was not working for pay,5.0,meet through family,,0.25,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,5.0,,,35.0,Good
,yes,,Female,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,3.0,meet through studies,,22.83,Good
yes,yes,,Female,hetero couple,no,[30 -40],[50 -60],4.0,[Partner Name] earned more,6.0,meet in neighborhood,,8.33,Fair
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,We earned about the same amount,6.0,meet through friends,,43.58,Good
,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,6.0,meet through internet,yes,0.08,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,4.0,meet through work,,11.92,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],0.0,[Partner Name] earned more,5.0,meet through friends,,,Excellent
yes,yes,,Female,hetero couple,yes,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through studies,,9.67,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,6.0,meet through work,,29.67,Good
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],1.0,[Partner Name] earned more,6.0,meet through work,,15.17,Excellent
yes,yes,,Male,hetero couple,yes,[80 -90],[80 -90],1.0,I earned more,5.0,meet through friends,,60.83,Excellent
yes,yes,,Female,hetero couple,no,[80 -90],[80 -90],2.0,We earned about the same amount,4.0,,,61.92,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],7.0,I earned more,4.0,meet through internet,,18.08,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,5.0,meet through work,,23.08,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,6.0,meet through studies,,,Excellent
,yes,,Male,hetero couple,no,[70 -80],[70 -80],3.0,I earned more,5.0,meet through internet,,0.25,Excellent
yes,yes,,Female,lesbian couple,yes,[20 -30],[20 -30],2.0,[Partner Name] earned more,6.0,meet through studies,,9.42,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,4.0,meet through studies,,40.17,Excellent
,yes,,Male,hetero couple,yes,[30 -40],[30 -40],1.0,We earned about the same amount,4.0,,no,0.0,Excellent
yes,yes,,Female,hetero couple,yes,[60 -70],[70 -80],0.0,[Partner Name] earned more,2.0,meet through studies,,44.92,Excellent
no,no,yes,Male,hetero couple,no,[20 -30],[50 -60],2.0,I earned more,4.0,meet through internet,,0.5,
yes,yes,,Male,hetero couple,yes,[60 -70],[60 -70],4.0,I earned more,2.0,,,31.67,Good
yes,yes,,Female,hetero couple,yes,[60 -70],[60 -70],3.0,[Partner Name] earned more,6.0,meet through studies,,46.58,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],1.0,I earned more,5.0,meet through friends,,51.0,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],6.5,[Partner Name] earned more,3.0,meet through work,,48.33,Excellent
no,no,yes,Female,hetero couple,yes,[30 -40],,8.0,[Partner Name] earned more,5.0,,,,
,yes,,Female,lesbian couple,yes,[20 -30],[20 -30],3.0,I earned more,4.0,meet through internet,no,1.17,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],4.0,I earned more,6.0,meet through work,,33.92,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],4.0,I earned more,3.0,,,49.75,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],1.0,We earned about the same amount,6.0,meet through studies,,22.83,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,5.0,,,33.42,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,6.0,meet through studies,,32.25,Excellent
